GRB		z	Pcc	 gal_type    	n      r_e	deltaR	deltaR_err	log(M*)		SFR		PopAge
050509B		0.225	5e-3	 2		5.6    20.98	44.8	11.9		11.6		0.15		3.18
050709		0.1606	3e-3	 1		1.0    1.8	3.74	0.005		8.8		0.15		0.26
050724		0.257	2e-5	 2		2.0    4.00	2.63	0.079		10.8		0.1		0.94
051221A		0.5465	5e-5	 1		0.9    2.49	2.18	0.19		9.4		0.95		0.17
061006		0.3277	4e-4	 1		0.7    3.67	1.30	0.24		9.0		0.24		0.24
070714B		0.923	5e-3	 1		0.76   2.68	12.21	0.87		9.4		0.44		0.22
070724A		0.4571	8e-4	 1		0.92   3.64	5.46	0.14		10.1		2.5		0.30
070809		0.473	0.03	 2		3.03   3.59	33.22 	2.71		11.4		0.1		3.07
071227		0.381	0.01	 1		1.05   4.72	15.50	0.24		10.4		0.6		0.49
090426		2.609	1.5e-4	 1		0.89   1.70	0.45	0.25		11.2		0.1		-
090510		0.903	8e-3	 1		0.74   5.79	10.37	2.89		-		-		0.14
090515		0.403	0.15	 2		2.95   4.24	75.03	0.15		11.2		0.1		4.35
100117A		0.915	7e-5	 2		4.95   0.55	1.32	0.33		10.3		0.2		0.79
120804A		1.3	0.02	 1		-      -	2.2	1.2		10.8		8.0		-
130603B		0.3564	1.8e-3	 1		0.96   3.07	5.41	0.17		9.7		1.7		-
150101B		0.1343	4.8e-4	 2    		4.1    7.2    7.35	0.07		10.85		0.4		-
